Handle,Title,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
pine-cone-hill-silken-solid-white-duvet-cover,Pine Cone Hill Silken Solid White Duvet Cover,Pine Cone Hill,Bedding & Bath,"Bedding & Bath: Duvet Covers & Shams, New Arrivals: Bedding",TRUE,Size,Twin,,,,,PC769-T,4536.105137,shopify,500,deny,manual,180,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/silken-solid-duvet-cover.jpg?v=1613755614,1,Pine Cone Hill Silken Solid White Duvet Cover - Lavender Fields,FALSE,Pine Cone Hill Silken Solid White Duvet Cover,"The perfect addition to any home setting, this Silken Solid White Duvet Cover will keep your warm and stylish all day long. Made from luxurious Lyocell. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.",,,,PC889-SHS,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/silken-solid-duvet-cover.jpg?v=1613755614,lb,,,active
pine-cone-hill-silken-solid-white-duvet-cover,,,,,,,Full/Queen,,,,,PC769-FQ,4536.105137,shopify,499,deny,manual,216,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/silken-solid-sham1_e391bc59-c04b-4a4a-a489-178e6b736f5d.jpg?v=1613755614,2,Pine Cone Hill Silken Solid White Duvet Cover - Lavender Fields,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/silken-solid-duvet-cover.jpg?v=1613755614,lb,,,
pine-cone-hill-silken-solid-white-duvet-cover,,,,,,,King,,,,,PC769-K,4536.105137,shopify,499,deny,manual,248,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/silken-solid-duvet-cover.jpg?v=1613755614,lb,,,
pine-cone-hill-silken-solid-white-sham,Pine Cone Hill Silken Solid White Sham,Pine Cone Hill,Bedding & Bath,"Bedding & Bath: Duvet Covers & Shams, Bedding & Bath: Shams, New Arrivals: Bedding",TRUE,Select Size,Standard - $58.00,,,,,PC2429-SHS,4536.105137,shopify,500,deny,manual,58,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/silken-solid-sham.jpg?v=1613755613,1,Pine Cone Hill Silken Solid White Sham - Lavender Fields,FALSE,Pine Cone Hill Silken Solid White Sham,The Silken Solid White Sham lets you sleep soundly knowing that TENCEL® fiber is sustainably derived from renewable wood resources and processed in a 99% recyclable closed loop system. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.,,,,PC889-SHS,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/silken-solid-sham.jpg?v=1613755613,lb,,,active
pine-cone-hill-silken-solid-white-sham,,,,,,,Euro - $70.00,,,,,PC2429-SHE,4536.105137,shopify,500,deny,manual,70,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/silken-solid-sham3.jpg?v=1613755614,2,Pine Cone Hill Silken Solid White Sham - Lavender Fields,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/silken-solid-sham.jpg?v=1613755613,lb,,,
pine-cone-hill-silken-solid-white-sham,,,,,,,King - $64.00,,,,,PC2429-SHK,4536.105137,shopify,500,deny,manual,64,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/silken-solid-sham2.jpg?v=1613755614,3,Pine Cone Hill Silken Solid White Sham - Lavender Fields,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/silken-solid-sham.jpg?v=1613755613,lb,,,
pine-cone-hill-silken-solid-white-sham,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/silken-solid-sham1.jpg?v=1613755614,4,Pine Cone Hill Silken Solid White Sham - Lavender Fields,,,,,,,,,,,,,,,,,,,,,
pine-cone-hill-tahiti-stripe-table-runner,Pine Cone Hill Tahiti Stripe Table Runner,Pine Cone Hill,Bedding & Bath,New Arrivals: Art Decor & Lighting,TRUE,Title,Default Title,,,,,FR544-TR,453.59237,shopify,500,deny,manual,59,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/tahiti.jpg?v=1613755591,1,Pine Cone Hill Tahiti Stripe Table Runner - Lavender Fields,FALSE,Pine Cone Hill Tahiti Stripe Table Runner,"Featuring a wide range of sun-drenched hues that will brighten up any spring day! Made from all cotton, this Tahiti Stripe Table Runner is the perfect addition to any occasion. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.",,,,,,,,,,,,,,,lb,,,active
pine-cone-hill-sequoia-evergreen-table-runner,Pine Cone Hill Sequoia Evergreen Table Runner,Pine Cone Hill,Bedding & Bath,New Arrivals: Art Decor & Lighting,TRUE,Title,Default Title,,,,,FR569-TR,453.59237,shopify,500,deny,manual,59,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/sequo.jpg?v=1613755591,1,Pine Cone Hill Sequoia Evergreen Table Runner - Lavender Fields,FALSE,Pine Cone Hill Sequoia Evergreen Table Runner,The Sequoia Evergreen Table Runner features a beautiful and elegant style in  Forest/Evergreen/ Beige/Natural flame stitch. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.,,,,,,,,,,,,,,,lb,,,active
pine-cone-hill-paxton-stripe-table-runner,Pine Cone Hill Paxton Stripe Table Runner,Pine Cone Hill,Bedding & Bath,New Arrivals: Art Decor & Lighting,TRUE,Title,Default Title,,,,,FR575-TR,453.59237,shopify,500,deny,manual,59,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/paxton_604292ef-dcf7-4147-8d49-13e123292af5.jpg?v=1613755591,1,Pine Cone Hill Paxton Stripe Table Runner - Lavender Fields,FALSE,Pine Cone Hill Paxton Stripe Table Runner,The Paxton Stripe Table Runner is made from all cotton and features a wide variety of vibrant colors to brighten up any home. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.,,,,,,,,,,,,,,,lb,,,active
pine-cone-hill-palm-evergreen-table-runner,Pine Cone Hill Palm Evergreen Table Runner,Pine Cone Hill,Bedding & Bath,New Arrivals: Art Decor & Lighting,TRUE,Title,Default Title,,,,,FR571-TR,453.59237,shopify,500,deny,manual,59,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/palm.jpg?v=1613755590,1,Pine Cone Hill Palm Evergreen Table Runner - Lavender Fields,FALSE,Pine Cone Hill Palm Evergreen Table Runner,Featuring a deep green color that is a wonderful addition to any table setting. The Palm Evergreen Table Runner is the perfect length to adapt to any table. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.,,,,,,,,,,,,,,,lb,,,active
pine-cone-hill-palm-evergreen-table-runner,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/bamboo-2_6998d75b-0627-44c1-a256-3dae09e92918.jpg?v=1613755590,2,Pine Cone Hill Palm Evergreen Table Runner - Lavender Fields,,,,,,,,,,,,,,,,,,,,,
pine-cone-hill-marina-stripe-table-runner,Pine Cone Hill Marina Stripe Table Runner,Pine Cone Hill,Bedding & Bath,New Arrivals: Art Decor & Lighting,TRUE,Title,Default Title,,,,,FR548-TR,453.59237,shopify,500,deny,manual,59,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/marina.jpg?v=1613755590,1,Pine Cone Hill Marina Stripe Table Runner - Lavender Fields,FALSE,Pine Cone Hill Marina Stripe Table Runner,"The Marina Stripe Table Runner features sun-drenched hues of Sky, Sand, and Grassy Green intersperse with variegated Indigo deck stripes. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.",,,,,,,,,,,,,,,lb,,,active
pine-cone-hill-lennox-stripe-table-runner,Pine Cone Hill Lennox Stripe Table Runner,Pine Cone Hill,Bedding & Bath,New Arrivals: Art Decor & Lighting,TRUE,Title,Default Title,,,,,FR577-TR,453.59237,shopify,500,deny,manual,59,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/lennox_22f0b330-98bb-42f8-9312-d5eb4af8e7a0.jpg?v=1613755590,1,Pine Cone Hill Lennox Stripe Table Runner - Lavender Fields,FALSE,Pine Cone Hill Lennox Stripe Table Runner,"Feed your soul with this Lennox Stripe Table Runner that is arranged in vibrant hues of Orange, Fuchsia, Lime, Turquoise, Slate, White, Cornflower, Citrus and Navy.  Pine Cone Hill bedding and accessories always ship free at Lavender Fields.",,,,,,,,,,,,,,,lb,,,active
pine-cone-hill-ikat-woven-indigo-table-runner,Pine Cone Hill Ikat Woven Indigo Table Runner,Pine Cone Hill,Bedding & Bath,New Arrivals: Art Decor & Lighting,TRUE,Title,Default Title,,,,,FR542-TR,453.59237,shopify,500,deny,manual,59,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/indigo_b1af7eb9-955d-449b-825b-a242868d4230.jpg?v=1613755590,1,Pine Cone Hill Ikat Woven Indigo Table Runner - Lavender Fields,FALSE,Pine Cone Hill Ikat Woven Indigo Table Runner,Set a stylish and sophisticated table with this Ikat Woven Indigo Table Runner and finished off with a cream-colored chevron design. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.,,,,,,,,,,,,,,,lb,,,active
pine-cone-hill-ikat-woven-french-blue-table-runner,Pine Cone Hill Ikat Woven French Blue Table Runner,Pine Cone Hill,Bedding & Bath,New Arrivals: Art Decor & Lighting,TRUE,Title,Default Title,,,,,FR541-TR,453.59237,shopify,500,deny,manual,59,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/ikat.jpg?v=1613755590,1,Pine Cone Hill Ikat Woven French Blue Table Runner - Lavender Fields,FALSE,Pine Cone Hill Ikat Woven French Blue Table Runner,"The Ikat Woven French Blue Table Runner features an elegant design in a beautiful, vibrant French blue. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.",,,,,,,,,,,,,,,lb,,,active
pine-cone-hill-gunner-stripe-table-runner,Pine Cone Hill Gunner Stripe Table Runner,Pine Cone Hill,Bedding & Bath,New Arrivals: Art Decor & Lighting,TRUE,Title,Default Title,,,,,FR543-TR,453.59237,shopify,500,deny,manual,59,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/gunner.jpg?v=1613755589,1,Pine Cone Hill Gunner Stripe Table Runner - Lavender Fields,FALSE,Pine Cone Hill Gunner Stripe Table Runner,The Gunner Stripe Table Runner is made from super-soft cotton that gives it a look and feel beyond just an ordinary table runner. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.,,,,,,,,,,,,,,,lb,,,active
pine-cone-hill-devon-stripe-table-runner,Pine Cone Hill Devon Stripe Table Runner,Pine Cone Hill,Bedding & Bath,New Arrivals: Art Decor & Lighting,TRUE,Title,Default Title,,,,,FR576-TR,453.59237,shopify,500,deny,manual,59,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/devon_a61cb67b-bd3a-4eca-aaac-8bdc3c60b351.jpg?v=1613755589,1,Pine Cone Hill Devon Stripe Table Runner - Lavender Fields,FALSE,Pine Cone Hill Devon Stripe Table Runner,"Featuring a super soft all cotton construction, this Devon Stripe Table Runner is a great addition to any dining, breakfast or other table around your home. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.",,,,,,,,,,,,,,,lb,,,active
pine-cone-hill-cantina-evergreen-table-runner,Pine Cone Hill Cantina Evergreen Table Runner,Pine Cone Hill,Bedding & Bath,New Arrivals: Art Decor & Lighting,TRUE,Title,Default Title,,,,,FR568-TR,453.59237,shopify,500,deny,manual,59,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/cantina.jpg?v=1613755589,1,Pine Cone Hill Cantina Evergreen Table Runner - Lavender Fields,FALSE,Pine Cone Hill Cantina Evergreen Table Runner,The Cantina Evergreen Table Runner features a 1/4 inch hem with a beautiful evergreen pattern that will elevate any table setting. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.,,,,,,,,,,,,,,,lb,,,active
pine-cone-hill-cantina-evergreen-table-runner,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/bamboo-2_7833c203-c0c2-488a-bdb0-c8dcd0a48147.jpg?v=1613755589,2,Pine Cone Hill Cantina Evergreen Table Runner - Lavender Fields,,,,,,,,,,,,,,,,,,,,,
pine-cone-hill-cafe-stripe-platinum-table-runner,Pine Cone Hill Café Stripe Platinum Table Runner,Pine Cone Hill,Bedding & Bath,New Arrivals: Art Decor & Lighting,TRUE,Title,Default Title,,,,,FR550-TR,453.59237,shopify,500,deny,manual,59,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/cafe.jpg?v=1613755588,1,Pine Cone Hill Café Stripe Platinum Table Runner - Lavender Fields,FALSE,Pine Cone Hill Cafe Stripe Platinum Table Runner,"A wonderful neutral way to add elegance and class to any table setting, this Café Stripe Platinum Table Runner is the perfect addition anywhere. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.",,,,,,,,,,,,,,,lb,,,active
pine-cone-hill-brighton-stripe-table-runner,Pine Cone Hill Brighton Stripe Table Runner,Pine Cone Hill,Bedding & Bath,New Arrivals: Art Decor & Lighting,TRUE,Title,Default Title,,,,,FR578-TR,453.59237,shopify,500,deny,manual,59,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/brighton-stripe.jpg?v=1613755588,1,Pine Cone Hill Brighton Stripe Table Runner - Lavender Fields,FALSE,Pine Cone Hill Brighton Stripe Table Runner,The Brighton Stripe Table Runner features a hem  for added detail and is finished off with a beautiful variety of colors to bring any table to life. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.,,,,,,,,,,,,,,,lb,,,active
pine-cone-hill-bright-stripe-table-runner-1,Pine Cone Hill Bright Stripe Table Runner,Pine Cone Hill,Bedding & Bath,New Arrivals: Art Decor & Lighting,TRUE,Title,Default Title,,,,,FR506-TR,453.59237,shopify,500,deny,manual,59,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/bright-stripe_84cdf0e0-7664-49d8-8af4-27bff98b2335.jpg?v=1613755588,1,Pine Cone Hill Bright Stripe Table Runner - Lavender Fields,FALSE,Pine Cone Hill Bright Stripe Table Runner,"Made from an array of vibrant colors, this Bright Stripe Table Runner is a great way to elevate any table decor. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.",,,,,,,,,,,,,,,lb,,,active
pine-cone-hill-bright-stripe-table-runner,Pine Cone Hill Bright Stripe Table Runner,Pine Cone Hill,Bedding & Bath,New Arrivals: Art Decor & Lighting,FALSE,Title,Default Title,,,,,,453.59237,shopify,500,deny,manual,59,,TRUE,TRUE,,,,,FALSE,Pine Cone Hill Brasserie Indigo Table Runner,"The Brasserie Indigo Table Runner is handwoven and made from cotton. Features a chic, variegated weave and plaid-inspired pattern that will elevate any table. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.",,,,,,,,,,,,,,,lb,,,draft
pine-cone-hill-brasserie-indigo-table-runner,Pine Cone Hill Brasserie Indigo Table Runner,Pine Cone Hill,Bedding & Bath,New Arrivals: Art Decor & Lighting,TRUE,Title,Default Title,,,,,FR549-TR,453.59237,shopify,500,deny,manual,59,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/brasserie.jpg?v=1613755588,1,Pine Cone Hill Brasserie Indigo Table Runner - Lavender Fields,FALSE,Pine Cone Hill Brasserie Indigo Table Runner,"The Brasserie Indigo Table Runner is handwoven and made from cotton. Features a chic, variegated weave and plaid-inspired pattern that will elevate any table. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.",,,,,,,,,,,,,,,lb,,,active
pine-cone-hill-bluemarine-stripe-table-runner,Pine Cone Hill Bluemarine Stripe Table Runner,Pine Cone Hill,Bedding & Bath,New Arrivals: Art Decor & Lighting,TRUE,Title,Default Title,,,,,FR545-TR,453.59237,shopify,500,deny,manual,59,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/bluemarine.jpg?v=1613755587,1,Pine Cone Hill Bluemarine Stripe Table Runner - Lavender Fields,FALSE,Pine Cone Hill Bluemarine Stripe Table Runner,"Let your imagination soar with this Bluemarine Stripe Table Runner. Featuring sophisticated shades in Indigo, Aqua, Crisp White, Sky, and Ocean. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.",,,,,,,,,,,,,,,lb,,,active
pine-cone-hill-bistro-stripe-platinum-table-runner,Pine Cone Hill Bistro Stripe Platinum Table Runner,Pine Cone Hill,Bedding & Bath,New Arrivals: Art Decor & Lighting,TRUE,Title,Default Title,,,,,FR540-TR,453.59237,shopify,500,deny,manual,59,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/platinum_7b873984-4b18-4fac-8841-31abce4e52fd.jpg?v=1613755587,1,Pine Cone Hill Bistro Stripe Platinum Table Runner - Lavender Fields,FALSE,Pine Cone Hill Bistro Stripe Platinum Table Runner,"Made from all cotton and featuring an elegant stripe design in platinum, this Bistro Stripe Platinum Table Runner is a wonderful addition to any table decor. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.",,,,,,,,,,,,,,,lb,,,active
pine-cone-hill-bistro-stripe-indigo-table-runner,Pine Cone Hill Bistro Stripe Indigo Table Runner,Pine Cone Hill,Bedding & Bath,New Arrivals: Art Decor & Lighting,TRUE,Title,Default Title,,,,,FR539-TR,453.59237,shopify,500,deny,manual,59,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/bistro.jpg?v=1613755586,1,Pine Cone Hill Bistro Stripe Indigo Table Runner - Lavender Fields,FALSE,Pine Cone Hill Bistro Stripe Indigo Table Runner,"The Bistro Stripe Indigo Table Runner will add a little French flair to your breakfast vista. Featuring chic stripes and colors, transporting your tabletop to a Parisian sidewalk. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.",,,,,,,,,,,,,,,lb,,,active
pine-cone-hill-bamboo-evergreen-table-runner,Pine Cone Hill Bamboo Evergreen Table Runner,Pine Cone Hill,Bedding & Bath,New Arrivals: Art Decor & Lighting,TRUE,Title,Default Title,,,,,FR570-TR,453.59237,shopify,500,deny,manual,59,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/bamboo_47120e1b-83f5-4909-b722-158a1f25cca4.jpg?v=1613755586,1,Pine Cone Hill Bamboo Evergreen Table Runner - Lavender Fields,FALSE,Pine Cone Hill Bamboo Evergreen Table Runner,"In elegant hues of Juniper/Sprout/Grey/Ivory , the Bamboo Evergreen Table Runner is made of all cotton in a nested diamond design. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.",,,,,,,,,,,,,,,lb,,,active
pine-cone-hill-bamboo-evergreen-table-runner,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/bamboo-2_66117ea1-c950-4684-9b11-6ef01062d62d.jpg?v=1613755586,2,Pine Cone Hill Bamboo Evergreen Table Runner - Lavender Fields,,,,,,,,,,,,,,,,,,,,,
pine-cone-hill-comfy-cotton-soft-blue-puff-sham,Pine Cone Hill Comfy Cotton Soft Blue Puff Sham,Pine Cone Hill,Rugs & Decor,New Arrivals: Bedding,TRUE,Size,Standard,,,,,PC3007-SHS,4536.105137,shopify,500,deny,manual,50,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/soft-blue_0697e76e-8e90-4435-8873-1bd4aab75efd.jpg?v=1613152120,1,Pine Cone Hill Comfy Cotton Soft Blue Puff Sham - Lavender Fields,FALSE,Pine Cone Hill Comfy Cotton Soft Blue Puff Sham,Bring the look of comfort and luxury to your home with this Comfy Cotton Soft Blue Puff Sham. Made from all cotton and features a superior soft finish. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.,,,,PC1021-PNL84,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/soft-blue_0697e76e-8e90-4435-8873-1bd4aab75efd.jpg?v=1613152120,lb,,,active
pine-cone-hill-comfy-cotton-soft-blue-puff-sham,,,,,,,Euro,,,,,PC3007-SHE,4536.105137,shopify,500,deny,manual,56,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/colors_768c7820-4105-4878-b87c-2245258b2d04.jpg?v=1613152121,2,Pine Cone Hill Comfy Cotton Soft Blue Puff Sham - Lavender Fields,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/soft-blue_0697e76e-8e90-4435-8873-1bd4aab75efd.jpg?v=1613152120,lb,,,
pine-cone-hill-comfy-cotton-soft-blue-puff-sham,,,,,,,King,,,,,PC3007-SHK,4536.105137,shopify,500,deny,manual,56,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/soft-blue_0697e76e-8e90-4435-8873-1bd4aab75efd.jpg?v=1613152120,lb,,,
pine-cone-hill-comfy-cotton-coral-puff-sham,Pine Cone Hill Comfy Cotton Coral Puff Sham,Pine Cone Hill,Rugs & Decor,New Arrivals: Bedding,TRUE,Size,Standard,,,,,PC2983-SHS,4536.105137,shopify,500,deny,manual,50,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/coral_79ef19b2-8cdb-41d6-9b31-87fd1abd26a6.jpg?v=1613152120,1,Pine Cone Hill Comfy Cotton Coral Puff Sham - Lavender Fields,FALSE,Pine Cone Hill Comfy Cotton Coral Puff Sham,"With a deep coral color that will bring any room to life, this Comfy Cotton Coral Puff Sham is finished off with the quality you would expect from Pine Cone Hill. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.",,,,PC1021-PNL84,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/coral_79ef19b2-8cdb-41d6-9b31-87fd1abd26a6.jpg?v=1613152120,lb,,,active
pine-cone-hill-comfy-cotton-coral-puff-sham,,,,,,,Euro,,,,,PC2983-SHE,4536.105137,shopify,500,deny,manual,56,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/colors_4eda8a77-8e07-4559-a0a2-ce5e2b4e515d.jpg?v=1613152120,2,Pine Cone Hill Comfy Cotton Coral Puff Sham - Lavender Fields,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/coral_79ef19b2-8cdb-41d6-9b31-87fd1abd26a6.jpg?v=1613152120,lb,,,
pine-cone-hill-comfy-cotton-coral-puff-sham,,,,,,,King,,,,,PC2983-SHK,4536.105137,shopify,500,deny,manual,56,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/coral_79ef19b2-8cdb-41d6-9b31-87fd1abd26a6.jpg?v=1613152120,lb,,,
pine-cone-hill-comfy-cotton-french-blue-puff-sham,Pine Cone Hill Comfy Cotton French Blue Puff Sham,Pine Cone Hill,Rugs & Decor,New Arrivals: Bedding,TRUE,Size,Standard,,,,,PC3019-SHS,4536.105137,shopify,500,deny,manual,50,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/french-blue_3412d736-58b9-4f62-9d6b-5e7328e36a5f.jpg?v=1613152120,1,Pine Cone Hill Comfy Cotton French Blue Puff Sham - Lavender Fields,FALSE,Pine Cone Hill Comfy Cotton French Blue Puff Sham,"With a deep blue color that will bring any room to life, this Comfy Cotton French Blue Puff Sham is finished off with an all cotton construction and a tie closure. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.",,,,PC1021-PNL84,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/french-blue_3412d736-58b9-4f62-9d6b-5e7328e36a5f.jpg?v=1613152120,lb,,,active
pine-cone-hill-comfy-cotton-french-blue-puff-sham,,,,,,,Euro,,,,,PC3019-SHE,4536.105137,shopify,500,deny,manual,56,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/colors_c7bf3296-1d5a-4597-8980-7c883dbcd61a.jpg?v=1613152120,2,Pine Cone Hill Comfy Cotton French Blue Puff Sham - Lavender Fields,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/french-blue_3412d736-58b9-4f62-9d6b-5e7328e36a5f.jpg?v=1613152120,lb,,,
pine-cone-hill-comfy-cotton-french-blue-puff-sham,,,,,,,King,,,,,PC3019-SHK,4536.105137,shopify,500,deny,manual,56,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/french-blue_3412d736-58b9-4f62-9d6b-5e7328e36a5f.jpg?v=1613152120,lb,,,
pine-cone-hill-comfy-cotton-sky-puff-sham,Pine Cone Hill Comfy Cotton Sky Puff Sham,Pine Cone Hill,Rugs & Decor,New Arrivals: Bedding,TRUE,Size,Standard,,,,,PC2995-SHS,4536.105137,shopify,500,deny,manual,50,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/sky_5b24936a-6f47-4da4-bb27-22996360199a.jpg?v=1613152119,1,Pine Cone Hill Comfy Cotton Sky Puff Sham - Lavender Fields,FALSE,Pine Cone Hill Comfy Cotton Sky Puff Sham,The Comfy Cotton Sky Puff Sham features a 300GSM batting with a tie closure. Finished off with a beautiful natural color that will blend into most styles with ease. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.,,,,PC1021-PNL84,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/sky_5b24936a-6f47-4da4-bb27-22996360199a.jpg?v=1613152119,lb,,,active
pine-cone-hill-comfy-cotton-sky-puff-sham,,,,,,,Euro,,,,,PC2995-SHE,4536.105137,shopify,500,deny,manual,56,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/colors_3e196747-a902-4017-8d79-cd6d46037fb3.jpg?v=1613152119,2,Pine Cone Hill Comfy Cotton Sky Puff Sham - Lavender Fields,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/sky_5b24936a-6f47-4da4-bb27-22996360199a.jpg?v=1613152119,lb,,,
pine-cone-hill-comfy-cotton-sky-puff-sham,,,,,,,King,,,,,PC2995-SHK,4536.105137,shopify,500,deny,manual,56,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/sky_5b24936a-6f47-4da4-bb27-22996360199a.jpg?v=1613152119,lb,,,
