Handle,Title,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
pine-cone-hill-maxwell-linen-throw,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/maxwell-linen-sham5_06a4af3e-178c-40e7-a0a3-a0bf9da96673.jpg?v=1603313638,2,Pine Cone Hill Maxwell Linen Throw - Lavender Fields,,,,,,,,,,,,,,,,,,,,,
pine-cone-hill-maxwell-linen-duvet-cover,Pine Cone Hill Maxwell Linen Duvet Cover,Pine Cone Hill,Bedding & Bath,"Bedding & Bath: Duvet Covers & Shams, Bedding & Bath: Duvets",TRUE,Select Size,Twin - $426.00,,,,,PCH-PC1875-01,4536.105137,shopify,5000,deny,manual,426,,TRUE,TRUE,'614099549649,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/maxwell-linen-duvet-cover2.jpg?v=1603313637,1,Pine Cone Hill Maxwell Linen Duvet Cover - Lavender Fields,FALSE,Pine Cone Hill Maxwell Linen Duvet Cover,The Maxwell Linen Duvet Cover from Pine Cone Hill features a blue and natural linen chambray weave on one side and crisp natural undyed linen on the other. This simple yet stylish duvet cover is a wonderful addition to your bedding ensemble. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.,,,,PC1875-T,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/maxwell-linen-duvet-cover2.jpg?v=1603313637,lb,,,active
pine-cone-hill-maxwell-linen-duvet-cover,,,,,,,Full/Queen - $516.00,,,,,PCH-PC1875-02,4536.105137,shopify,4999,deny,manual,516,,TRUE,TRUE,'614099549656,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/maxwell-linen-duvet-cover.jpg?v=1603313637,2,Pine Cone Hill Maxwell Linen Duvet Cover - Lavender Fields,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/maxwell-linen-duvet-cover2.jpg?v=1603313637,lb,,,
pine-cone-hill-maxwell-linen-duvet-cover,,,,,,,King - $578.00,,,,,PCH-PC1875-03,4536.105137,shopify,5000,deny,manual,578,,TRUE,TRUE,'614099549663,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/maxwell-linen-duvet-cover2.jpg?v=1603313637,lb,,,
pine-cone-hill-maxwell-linen-sham,Pine Cone Hill Maxwell Linen Blue Sham,Pine Cone Hill,Bedding & Bath,"Bedding & Bath: Duvet Covers & Shams, Bedding & Bath: Shams",TRUE,Select Size,Standard - $84.00,,,,,PCH-PC1876-01,4536.105137,shopify,4998,deny,manual,84,,TRUE,TRUE,'614099549670,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/maxwell-linen-sham3.jpg?v=1603313636,1,Pine Cone Hill Maxwell Linen Blue Sham - Lavender Fields,FALSE,Pine Cone Hill Maxwell Linen Sham,The Maxwell Linen Sham from Pine Cone Hill features a blue and natural linen chambray weave on one side and crisp natural undyed linen on the other. This simple yet stylish sham is a wonderful addition to your bedding ensemble. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.,,,,PC1876-SHS,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/maxwell-linen-sham3.jpg?v=1603313636,lb,,,active
pine-cone-hill-maxwell-linen-sham,,,,,,,European - $100.00,,,,,PCH-PC1876-02,4536.105137,shopify,5000,deny,manual,100,,TRUE,TRUE,'614099549687,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/maxwell-linen-sham.jpg?v=1603313636,2,Pine Cone Hill Maxwell Linen Blue Sham - Lavender Fields,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/maxwell-linen-sham3.jpg?v=1603313636,lb,,,
pine-cone-hill-maxwell-linen-sham,,,,,,,King - $106.00,,,,,PCH-PC1876-03,4536.105137,shopify,5000,deny,manual,106,,TRUE,TRUE,'614099549694,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/maxwell-linen-sham2.jpg?v=1603313636,3,Pine Cone Hill Maxwell Linen Blue Sham - Lavender Fields,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/maxwell-linen-sham3.jpg?v=1603313636,lb,,,
pine-cone-hill-maxwell-linen-sham,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/maxwell-linen-sham4.jpg?v=1603313636,4,Pine Cone Hill Maxwell Linen Blue Sham - Lavender Fields,,,,,,,,,,,,,,,,,,,,,
pine-cone-hill-maxwell-linen-sham,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/maxwell-linen-sham5.jpg?v=1603313636,5,Pine Cone Hill Maxwell Linen Blue Sham - Lavender Fields,,,,,,,,,,,,,,,,,,,,,
pine-cone-hill-cascade-stripe-flannel-blue-oatmeal-sheet-set,Pine Cone Hill Cascade Stripe Flannel Blue/Oatmeal Sheet Set,Pine Cone Hill,Bedding & Bath,"Bedding & Bath: Sheets, Bedding & Bath: Sheets and Pillowcases-1",TRUE,Select Size,Twin - $248.00,,,,,PCH-PC1838-01,4536.105137,shopify,5000,deny,manual,248,,TRUE,TRUE,'614099545511,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/cascadestripe-blueoatmeal-sheets_37b123ec-7717-4dc4-9dd6-5a8a1c827750.jpg?v=1603313634,1,Pine Cone Hill Cascade Stripe Flannel Blue/Oatmeal Sheet Set - Lavender Fields,FALSE,Pine Cone Hill Cascade Stripe Flannel Blue/Oatmeal Sheet Set Ship Free,"The Cascade Stripe Flannel Blue/Oatmeal Sheet Set from Pine Cone Hill features variegated stripes in denim blue and oatmeal, brushed to mottled perfection. Made from 100% cotton, these sheets have a classic look you'll love. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.",,,,PC1838-T,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/cascadestripe-blueoatmeal-sheets_37b123ec-7717-4dc4-9dd6-5a8a1c827750.jpg?v=1603313634,lb,,,active
